Nombre	 País	 Equipo	 Categoría	 Edad	 Año	 Altura	 ELO	 Max. ELO	 REAP	 +/- ELO (1 año)	 Potencial	 Fin Contrato	 Valor de mercado	 Agente	 Position principal	 PJ Temporada Actual	 Min Temporada Actual	 Año	 Minutos
F. Rodríguez	 Argentina	 Talleres R. Escalada	 Primera B	 19	 06	 -	 26	 38	 0.69	 -	 40	 -	 0.001	 -	 RM	 4	 30	 2006	 13	 
 U. La Roza	 Argentina	 Arsenal de Sarandí	 Primera B	 21	 05	 170	 38	 40	 0.92	 -	 52	 -	 0.049	 -	 RW	 3	 43	 2005	 16	 
 Thiago Schiavulli	 Argentina	 Arsenal de Sarandí	 Primera B	 22	 03	 179	 55	 58	 1.24	 4	 67	 2026-12-31	 0.267	 Fair play sport agency	 CB	 4	 342	 2003	 90	 
 M. Cantero	 Argentina	 Talleres R. Escalada	 Primera B	 21	 04	 176	 38	 40	 0.96	 1	 50	 2027-12-31	 0.025	 NINJA SPORT	 CAM	 2	 42	 2004	 13	 
 V. Albano	 Argentina	 UAI Urquiza	 Primera B	 23	 03	 183	 50	 54	 1.11	 -1	 59	 2026-12-31	 0.227	 DyR Fútbol	 RB	 4	 251	 2003	 90	 
 A. Nalerio	 Argentina	 Flandria	 Primera B	 23	 03	 184	 50	 50	 1.20	 7	 59	 -	 0.101	 -	 CM	 4	 249	 2003	 44	 
 Enzo Franco	 Argentina	 Real Pilar	 Primera B	 22	 04	 -	 61	 61	 1.39	 10	 71	 2025-12-31	 0.162	 NLSports	 LB	 4	 352	 2004	 82	 
 M. Trombini	 Italy	 Arsenal de Sarandí	 Primera B	 22	 03	 169	 55	 55	 1.39	 6	 65	 2025-12-31	 0.420	 Score Futbol	 CM	 4	 110	 2003	 32	 
 V. Mancini	 Argentina	 Real Pilar	 Primera B	 22	 03	 164	 55	 55	 1.25	 10	 66	 2026-12-31	 0.098	 -	 LW	 4	 296	 2003	 56	 
 Diego Barrionuevo	 Argentina	 Dep. Armenio	 Primera B	 22	 03	 181	 57	 57	 1.44	 3	 67	 -	 0.401	 -	 CAM	 3	 124	 2003	 90	 
 Axel Poza	 Argentina	 Arg. Quilmes	 Primera B	 22	 03	 191	 43	 49	 1.07	 -2	 55	 2026-12-31	 0.126	 Real Player	 CB	 4	 277	 2003	 90	 
 B. Ortíz	 Argentina	 Dep. Armenio	 Primera B	 22	 03	 184	 50	 55	 1.25	 6	 60	 2026-12-31	 0.310	 Score Futbol	 DM	 4	 360	 2003	 90	 
